payload_number;adc_time;sg_1;sg_2;sg_3;sg_4
819;38;1639;1640;1638;1635
820;38;1640;1637;1635;1636
821;44;1638;1636;1635;1637
822;38;1637;1638;1637;1634
823;37;1645;1638;1635;1636
824;37;1636;1635;1640;1636
825;38;1638;1640;1637;1635
826;37;1639;1638;1634;1634
827;38;1640;1637;1634;1633
828;38;1638;1638;1633;1631
829;38;1630;1632;1634;1637
830;37;1639;1639;1637;1631
831;38;1644;1647;1642;1638
832;44;1636;1636;1636;1637
833;37;1635;1637;1636;1636
834;38;1645;1640;1638;1639
835;38;1640;1640;1641;1638
836;38;1640;1645;1640;1640
837;38;1635;1634;1634;1634
838;38;1640;1639;1638;1636
839;38;1641;1642;1636;1636
840;38;1634;1634;1638;1635
841;38;1638;1641;1642;1634
842;38;1639;1637;1638;1638
843;44;1639;1639;1640;1640
844;37;1639;1642;1637;1636
845;38;1639;1638;1637;1638
846;38;1637;1631;1629;1638
847;38;1633;1642;1640;1636
848;38;1638;1636;1636;1638
849;38;1638;1640;1644;1641
850;37;1641;1639;1636;1636
851;37;1641;1637;1638;1639
852;38;1641;1640;1638;1636
853;38;1643;1641;1640;1638
854;44;1637;1635;1633;1638
855;37;1638;1640;1635;1636
856;38;1644;1639;1635;1637
857;37;1637;1639;1642;1636
858;38;1636;1643;1639;1636
859;38;1638;1638;1636;1636
860;38;1639;1640;1645;1640
861;38;1641;1638;1636;1636
